baseline seed 11 (Continent), 5.97 s: land 0.240 km², highest 34.5 m; slope flat 6 %, gentle 14 %, moderate 34 %, steep 46 %; pits 4089 (4.3/1000, 235 ≥1 m); cliff steps 7.9 %; coast 18356 cells, beach 25 %
baseline seed 23 (Continent), 5.50 s: land 0.242 km², highest 34.0 m; slope flat 6 %, gentle 13 %, moderate 33 %, steep 47 %; pits 4247 (4.4/1000, 268 ≥1 m); cliff steps 7.8 %; coast 15583 cells, beach 20 %
baseline seed 37 (Continent), 5.54 s: land 0.224 km², highest 33.5 m; slope flat 5 %, gentle 12 %, moderate 33 %, steep 49 %; pits 4427 (4.9/1000, 268 ≥1 m); cliff steps 8.1 %; coast 19306 cells, beach 24 %
baseline seed 58 (Continent), 5.76 s: land 0.267 km², highest 30.5 m; slope flat 7 %, gentle 15 %, moderate 35 %, steep 43 %; pits 4406 (4.1/1000, 384 ≥1 m); cliff steps 6.6 %; coast 16069 cells, beach 20 %
phase2 seed 11 (Continent; plains 47 %, hills 40 %, mountains 14 %), 5.65 s: land 0.233 km², highest 36.5 m; slope flat 30 %, gentle 19 %, moderate 26 %, steep 26 %; pits 737 (0.8/1000, 70 ≥1 m); cliff steps 3.5 %; coast 19746 cells, beach 64 %
phase2 seed 23 (Continent; plains 45 %, hills 35 %, mountains 19 %), 5.49 s: land 0.236 km², highest 37.5 m; slope flat 24 %, gentle 19 %, moderate 27 %, steep 30 %; pits 473 (0.5/1000, 10 ≥1 m); cliff steps 4.3 %; coast 16761 cells, beach 69 %
phase2 seed 37 (Continent; plains 30 %, hills 42 %, mountains 28 %), 5.64 s: land 0.219 km², highest 40.5 m; slope flat 19 %, gentle 16 %, moderate 27 %, steep 39 %; pits 1455 (1.7/1000, 154 ≥1 m); cliff steps 6.9 %; coast 21405 cells, beach 53 %
phase2 seed 58 (Continent; plains 43 %, hills 33 %, mountains 24 %), 5.86 s: land 0.261 km², highest 35.5 m; slope flat 23 %, gentle 19 %, moderate 28 %, steep 31 %; pits 977 (0.9/1000, 145 ≥1 m); cliff steps 4.9 %; coast 17511 cells, beach 57 %
phase2 seed 11 (Continent; plains 47 %, hills 40 %, mountains 14 %), 5.71 s: land 0.233 km², highest 36.0 m; slope flat 32 %, gentle 21 %, moderate 25 %, steep 22 %; pits 364 (0.4/1000, 11 ≥1 m); cliff steps 2.9 %; coast 19179 cells, beach 67 %
phase2 seed 23 (Continent; plains 45 %, hills 35 %, mountains 19 %), 5.55 s: land 0.236 km², highest 34.5 m; slope flat 28 %, gentle 20 %, moderate 25 %, steep 27 %; pits 369 (0.4/1000, 4 ≥1 m); cliff steps 4.1 %; coast 17400 cells, beach 71 %
phase2 seed 37 (Continent; plains 30 %, hills 42 %, mountains 28 %), 5.55 s: land 0.217 km², highest 33.5 m; slope flat 22 %, gentle 17 %, moderate 25 %, steep 36 %; pits 905 (1.0/1000, 98 ≥1 m); cliff steps 6.1 %; coast 22482 cells, beach 61 %
phase2 seed 58 (Continent; plains 43 %, hills 33 %, mountains 24 %), 5.57 s: land 0.260 km², highest 35.5 m; slope flat 27 %, gentle 20 %, moderate 25 %, steep 28 %; pits 676 (0.6/1000, 60 ≥1 m); cliff steps 4.4 %; coast 18827 cells, beach 61 %
phase3 seed 11 (Continent; plains 47 %, hills 40 %, mountains 14 %; erosion moved 66.69 m on average, 4174 cells filled), 6.27 s: land 0.233 km², highest 27.5 m; slope flat 67 %, gentle 10 %, moderate 13 %, steep 10 %; pits 62 (0.1/1000, 0 ≥1 m); cliff steps 1.3 %; coast 16665 cells, beach 95 %
phase3 seed 23 (Continent; plains 45 %, hills 35 %, mountains 19 %; erosion moved 34.26 m on average, 10680 cells filled), 6.21 s: land 0.236 km², highest 28.5 m; slope flat 59 %, gentle 11 %, moderate 16 %, steep 14 %; pits 130 (0.1/1000, 0 ≥1 m); cliff steps 2.3 %; coast 14430 cells, beach 97 %
phase3 seed 37 (Continent; plains 30 %, hills 42 %, mountains 28 %; erosion moved 35.32 m on average, 14500 cells filled), 6.22 s: land 0.217 km², highest 27.5 m; slope flat 54 %, gentle 10 %, moderate 18 %, steep 18 %; pits 95 (0.1/1000, 0 ≥1 m); cliff steps 2.5 %; coast 18437 cells, beach 87 %
phase3 seed 58 (Continent; plains 43 %, hills 33 %, mountains 24 %; erosion moved 139.32 m on average, 12126 cells filled), 6.33 s: land 0.261 km², highest 29.5 m; slope flat 62 %, gentle 10 %, moderate 13 %, steep 15 %; pits 95 (0.1/1000, 0 ≥1 m); cliff steps 3.4 %; coast 15481 cells, beach 88 %
phase3 seed 11 (Continent; plains 47 %, hills 40 %, mountains 14 %; erosion moved 0.51 m on average, 22010 cells filled), 6.32 s: land 0.233 km², highest 32.5 m; slope flat 41 %, gentle 21 %, moderate 23 %, steep 14 %; pits 170 (0.2/1000, 0 ≥1 m); cliff steps 1.0 %; coast 16655 cells, beach 79 %
phase3 seed 23 (Continent; plains 45 %, hills 35 %, mountains 19 %; erosion moved 0.61 m on average, 36843 cells filled), 6.02 s: land 0.237 km², highest 32.0 m; slope flat 38 %, gentle 21 %, moderate 24 %, steep 16 %; pits 181 (0.2/1000, 0 ≥1 m); cliff steps 1.3 %; coast 14454 cells, beach 82 %
phase3 seed 37 (Continent; plains 30 %, hills 42 %, mountains 28 %; erosion moved 0.75 m on average, 50693 cells filled), 6.08 s: land 0.218 km², highest 32.0 m; slope flat 33 %, gentle 20 %, moderate 25 %, steep 22 %; pits 150 (0.2/1000, 0 ≥1 m); cliff steps 2.0 %; coast 18526 cells, beach 69 %
phase3 seed 58 (Continent; plains 43 %, hills 33 %, mountains 24 %; erosion moved 0.62 m on average, 47797 cells filled), 6.53 s: land 0.261 km², highest 32.0 m; slope flat 38 %, gentle 21 %, moderate 25 %, steep 16 %; pits 216 (0.2/1000, 0 ≥1 m); cliff steps 1.6 %; coast 15478 cells, beach 70 %
phase3 seed 11 (Continent; plains 47 %, hills 40 %, mountains 14 %; erosion moved 0.43 m on average, 1150 cells filled), 6.29 s: land 0.233 km², highest 33.0 m; slope flat 53 %, gentle 17 %, moderate 19 %, steep 11 %; pits 4 (0.0/1000, 0 ≥1 m); cliff steps 0.8 %; coast 16656 cells, beach 76 %
phase3 seed 23 (Continent; plains 45 %, hills 35 %, mountains 19 %; erosion moved 0.53 m on average, 10011 cells filled), 6.12 s: land 0.237 km², highest 32.5 m; slope flat 48 %, gentle 18 %, moderate 21 %, steep 12 %; pits 7 (0.0/1000, 0 ≥1 m); cliff steps 0.8 %; coast 14454 cells, beach 80 %
